step,sim_time,env_id,episode_id,episode_step,shoulder_pan_joint_pos,shoulder_lift_joint_pos,elbow_joint_pos,wrist_1_joint_pos,wrist_2_joint_pos,wrist_3_joint_pos,robotiq_hande_left_finger_joint_pos,robotiq_hande_right_finger_joint_pos,shoulder_pan_joint_pos_target,shoulder_lift_joint_pos_target,elbow_joint_pos_target,wrist_1_joint_pos_target,wrist_2_joint_pos_target,wrist_3_joint_pos_target,robotiq_hande_left_finger_joint_pos_target,robotiq_hande_right_finger_joint_pos_target,shoulder_pan_joint_vel,shoulder_lift_joint_vel,elbow_joint_vel,wrist_1_joint_vel,wrist_2_joint_vel,wrist_3_joint_vel,robotiq_hande_left_finger_joint_vel,robotiq_hande_right_finger_joint_vel,shoulder_pan_joint_vel_target,shoulder_lift_joint_vel_target,elbow_joint_vel_target,wrist_1_joint_vel_target,wrist_2_joint_vel_target,wrist_3_joint_vel_target,robotiq_hande_left_finger_joint_vel_target,robotiq_hande_right_finger_joint_vel_target,shoulder_pan_joint_pos_limit_lower,shoulder_pan_joint_pos_limit_upper,shoulder_lift_joint_pos_limit_lower,shoulder_lift_joint_pos_limit_upper,elbow_joint_pos_limit_lower,elbow_joint_pos_limit_upper,wrist_1_joint_pos_limit_lower,wrist_1_joint_pos_limit_upper,wrist_2_joint_pos_limit_lower,wrist_2_joint_pos_limit_upper,wrist_3_joint_pos_limit_lower,wrist_3_joint_pos_limit_upper,robotiq_hande_left_finger_joint_pos_limit_lower,robotiq_hande_left_finger_joint_pos_limit_upper,robotiq_hande_right_finger_joint_pos_limit_lower,robotiq_hande_right_finger_joint_pos_limit_upper,shoulder_pan_joint_soft_pos_limit_lower,shoulder_pan_joint_soft_pos_limit_upper,shoulder_lift_joint_soft_pos_limit_lower,shoulder_lift_joint_soft_pos_limit_upper,elbow_joint_soft_pos_limit_lower,elbow_joint_soft_pos_limit_upper,wrist_1_joint_soft_pos_limit_lower,wrist_1_joint_soft_pos_limit_upper,wrist_2_joint_soft_pos_limit_lower,wrist_2_joint_soft_pos_limit_upper,wrist_3_joint_soft_pos_limit_lower,wrist_3_joint_soft_pos_limit_upper,robotiq_hande_left_finger_joint_soft_pos_limit_lower,robotiq_hande_left_finger_joint_soft_pos_limit_upper,robotiq_hande_right_finger_joint_soft_pos_limit_lower,robotiq_hande_right_finger_joint_soft_pos_limit_upper,shoulder_pan_joint_vel_limit,shoulder_lift_joint_vel_limit,elbow_joint_vel_limit,wrist_1_joint_vel_limit,wrist_2_joint_vel_limit,wrist_3_joint_vel_limit,robotiq_hande_left_finger_joint_vel_limit,robotiq_hande_right_finger_joint_vel_limit,shoulder_pan_joint_soft_vel_limit,shoulder_lift_joint_soft_vel_limit,elbow_joint_soft_vel_limit,wrist_1_joint_soft_vel_limit,wrist_2_joint_soft_vel_limit,wrist_3_joint_soft_vel_limit,robotiq_hande_left_finger_joint_soft_vel_limit,robotiq_hande_right_finger_joint_soft_vel_limit,ee_frame_pos_x,ee_frame_pos_y,ee_frame_pos_z,ee_frame_rot_w,ee_frame_rot_x,ee_frame_rot_y,ee_frame_rot_z,object_pos_x,object_pos_y,object_pos_z,object_rot_w,object_rot_x,object_rot_y,object_rot_z,object_width,target_pos_x,target_pos_y,target_pos_z,target_rot_w,target_rot_x,target_rot_y,target_rot_z
1,0.016666666666666666,0,0,1,-0.006593320984393358,-1.5667533874511719,1.5742526054382324,-1.5776097774505615,-1.5997580289840698,-0.05235297232866287,0.024758176878094673,0.02500000037252903,0.0,-1.5700000524520874,1.5700000524520874,-1.5700000524520874,-1.5700000524520874,0.0,0.02500000037252903,0.02500000037252903,-0.6619545221328735,0.2987282872200012,0.29678669571876526,-0.44676336646080017,-1.853755235671997,-3.141596794128418,0.007850454188883305,0.0024066967889666557,-2.094399929046631,2.094399929046631,3.1415998935699463,-0.4467638432979584,-1.8537527322769165,-3.1415998935699463,0.0,0.0,-6.2831854820251465,6.2831854820251465,-6.2831854820251465,6.2831854820251465,-3.1415927410125732,3.1415927410125732,-6.2831854820251465,6.2831854820251465,-6.2831854820251465,6.2831854820251465,-6.2831854820251465,6.2831854820251465,0.0,0.02500000037252903,0.0,0.02500000037252903,-5.654866695404053,5.654866695404053,-5.654866695404053,5.654866695404053,-2.8274333477020264,2.8274333477020264,-5.654866695404053,5.654866695404053,-5.654866695404053,5.654866695404053,-5.654866695404053,5.654866695404053,0.0012500006705522537,0.023749999701976776,0.0012500006705522537,0.023749999701976776,2.094399929046631,2.094399929046631,3.1415998935699463,3.1415998935699463,3.1415998935699463,3.1415998935699463,0.15000000596046448,0.15000000596046448,2.094399929046631,2.094399929046631,3.1415998935699463,3.1415998935699463,3.1415998935699463,3.1415998935699463,0.15000000596046448,0.15000000596046448,0.6947546005249023,0.16166603565216064,0.5160911679267883,-0.01077154278755188,-0.7230263948440552,0.6906684041023254,-0.009683266282081604,0.6633310317993164,-0.30907106399536133,0.012956248596310616,0.9978868365287781,0.0,-2.9802322387695312e-08,-0.0649762749671936,0.029999999329447746,0.527715802192688,0.25135722756385803,0.0,0.608802318572998,0.0,0.0,0.793321967124939
2,0.03333333333333333,0,0,2,-0.026468727737665176,-1.5587859153747559,1.5833243131637573,-1.589985966682434,-1.630889892578125,-0.10471315681934357,0.02465810626745224,0.02500000037252903,0.0,-1.5700000524520874,1.5700000524520874,-1.5700000524520874,-1.5700000524520874,0.0,0.02500000037252903,0.02500000037252903,-1.5127155780792236,0.5845819115638733,0.5853310823440552,-0.7306163311004639,-1.9199999570846558,-3.141601085662842,0.008299161680042744,0.0019520118366926908,-2.094399929046631,2.094399929046631,3.0562825202941895,-0.7306153774261475,-1.9200043678283691,-3.1415998935699463,0.0,0.0,-6.2831854820251465,6.2831854820251465,-6.2831854820251465,6.2831854820251465,-3.1415927410125732,3.1415927410125732,-6.2831854820251465,6.2831854820251465,-6.2831854820251465,6.2831854820251465,-6.2831854820251465,6.2831854820251465,0.0,0.02500000037252903,0.0,0.02500000037252903,-5.654866695404053,5.654866695404053,-5.654866695404053,5.654866695404053,-2.8274333477020264,2.8274333477020264,-5.654866695404053,5.654866695404053,-5.654866695404053,5.654866695404053,-5.654866695404053,5.654866695404053,0.0012500006705522537,0.023749999701976776,0.0012500006705522537,0.023749999701976776,2.094399929046631,2.094399929046631,3.1415998935699463,3.1415998935699463,3.1415998935699463,3.1415998935699463,0.15000000596046448,0.15000000596046448,2.094399929046631,2.094399929046631,3.1415998935699463,3.1415998935699463,3.1415998935699463,3.1415998935699463,0.15000000596046448,0.15000000596046448,0.7010576725006104,0.13924619555473328,0.5061376094818115,-0.024351954460144043,-0.7339429259300232,0.6785411238670349,-0.01779460906982422,0.6633310317993164,-0.30907106399536133,0.012025476433336735,0.9978867173194885,-2.980232238769531e-07,5.066394805908203e-07,-0.06497639417648315,0.029999999329447746,0.527715802192688,0.25135722756385803,0.0,0.608802318572998,0.0,0.0,0.793321967124939
3,0.05,0,0,3,-0.05616695061326027,-1.5444097518920898,1.5948402881622314,-1.6042145490646362,-1.659364104270935,-0.1570734828710556,0.024679377675056458,0.02500000037252903,0.0,-1.5700000524520874,1.5700000524520874,-1.5700000524520874,-1.5700000524520874,0.0,0.02500000037252903,0.02500000037252903,-1.945381999015808,1.0319314002990723,0.6778530478477478,-0.83761066198349,-1.7145440578460693,-3.1416001319885254,0.002186165889725089,0.0014329476980492473,-2.094399929046631,2.094399929046631,2.0561447143554688,-0.8378616571426392,-1.731576681137085,-3.1415998935699463,0.0,0.0,-6.2831854820251465,6.2831854820251465,-6.2831854820251465,6.2831854820251465,-3.1415927410125732,3.1415927410125732,-6.2831854820251465,6.2831854820251465,-6.2831854820251465,6.2831854820251465,-6.2831854820251465,6.2831854820251465,0.0,0.02500000037252903,0.0,0.02500000037252903,-5.654866695404053,5.654866695404053,-5.654866695404053,5.654866695404053,-2.8274333477020264,2.8274333477020264,-5.654866695404053,5.654866695404053,-5.654866695404053,5.654866695404053,-5.654866695404053,5.654866695404053,0.0012500006705522537,0.023749999701976776,0.0012500006705522537,0.023749999701976776,2.094399929046631,2.094399929046631,3.1415998935699463,3.1415998935699463,3.1415998935699463,3.1415998935699463,0.15000000596046448,0.15000000596046448,2.094399929046631,2.094399929046631,3.1415998935699463,3.1415998935699463,3.1415998935699463,3.1415998935699463,0.15000000596046448,0.15000000596046448,0.7095072865486145,0.1103423535823822,0.49039584398269653,-0.039790570735931396,-0.7413662075996399,0.6695850491523743,-0.021178901195526123,0.6633310317993164,-0.30907106399536133,0.012025480158627033,0.9978867769241333,-1.7881393432617188e-07,0.0,-0.06497633457183838,0.029999999329447746,0.527715802192688,0.25135722756385803,0.0,0.608802318572998,0.0,0.0,0.793321967124939
4,0.06666666666666667,0,0,4,-0.08892841637134552,-1.5215517282485962,1.6058638095855713,-1.620835304260254,-1.685854434967041,-0.20943377912044525,0.024757860228419304,0.02500000037252903,0.0,-1.5700000524520874,1.5700000524520874,-1.5700000524520874,-1.5700000524520874,0.0,0.02500000037252903,0.02500000037252903,-1.9986250400543213,1.606473684310913,0.6331374049186707,-0.9799923896789551,-1.580559492111206,-3.141599655151367,0.002119151409715414,0.0014377521583810449,-2.094399929046631,2.094399929046631,1.04000723361969,-0.9804090261459351,-1.5912588834762573,-3.1415998935699463,0.0,0.0,-6.2831854820251465,6.2831854820251465,-6.2831854820251465,6.2831854820251465,-3.1415927410125732,3.1415927410125732,-6.2831854820251465,6.2831854820251465,-6.2831854820251465,6.2831854820251465,-6.2831854820251465,6.2831854820251465,0.0,0.02500000037252903,0.0,0.02500000037252903,-5.654866695404053,5.654866695404053,-5.654866695404053,5.654866695404053,-2.8274333477020264,2.8274333477020264,-5.654866695404053,5.654866695404053,-5.654866695404053,5.654866695404053,-5.654866695404053,5.654866695404053,0.0012500006705522537,0.023749999701976776,0.0012500006705522537,0.023749999701976776,2.094399929046631,2.094399929046631,3.1415998935699463,3.1415998935699463,3.1415998935699463,3.1415998935699463,0.15000000596046448,0.15000000596046448,2.094399929046631,2.094399929046631,3.1415998935699463,3.1415998935699463,3.1415998935699463,3.1415998935699463,0.15000000596046448,0.15000000596046448,0.720040500164032,0.07916798442602158,0.4693334698677063,-0.056405603885650635,-0.747708797454834,0.6613122224807739,-0.02039681375026703,0.6633310317993164,-0.30907106399536133,0.012025482952594757,0.9978867173194885,-1.7881393432617188e-07,3.725290298461914e-08,-0.06497639417648315,0.029999999329447746,0.527715802192688,0.25135722756385803,0.0,0.608802318572998,0.0,0.0,0.793321967124939
5,0.08333333333333333,0,0,5,-0.12178128212690353,-1.4890704154968262,1.608527421951294,-1.6391392946243286,-1.7117035388946533,-0.26179400086402893,0.024784516543149948,0.02500000037252903,0.0,-1.5700000524520874,1.5700000524520874,-1.5700000524520874,-1.5700000524520874,0.0,0.02500000037252903,0.02500000037252903,-2.0194828510284424,2.039883852005005,0.05685346946120262,-1.1245591640472412,-1.5511037111282349,-3.1416003704071045,0.0021108349319547415,0.0014529690379276872,-2.094399929046631,2.094399929046631,0.07641179859638214,-1.1240901947021484,-1.5580252408981323,-3.1415998935699463,0.0,0.0,-6.2831854820251465,6.2831854820251465,-6.2831854820251465,6.2831854820251465,-3.1415927410125732,3.1415927410125732,-6.2831854820251465,6.2831854820251465,-6.2831854820251465,6.2831854820251465,-6.2831854820251465,6.2831854820251465,0.0,0.02500000037252903,0.0,0.02500000037252903,-5.654866695404053,5.654866695404053,-5.654866695404053,5.654866695404053,-2.8274333477020264,2.8274333477020264,-5.654866695404053,5.654866695404053,-5.654866695404053,5.654866695404053,-5.654866695404053,5.654866695404053,0.0012500006705522537,0.023749999701976776,0.0012500006705522537,0.023749999701976776,2.094399929046631,2.094399929046631,3.1415998935699463,3.1415998935699463,3.1415998935699463,3.1415998935699463,0.15000000596046448,0.15000000596046448,2.094399929046631,2.094399929046631,3.1415998935699463,3.1415998935699463,3.1415998935699463,3.1415998935699463,0.15000000596046448,0.15000000596046448,0.7345154285430908,0.04692116007208824,0.44712743163108826,-0.07259166240692139,-0.753898024559021,0.6527140140533447,-0.018233075737953186,0.6633310317993164,-0.30907106399536133,0.012025485746562481,0.9978867769241333,-2.384185791015625e-07,-7.450580596923828e-09,-0.06497645378112793,0.029999999329447746,0.527715802192688,0.25135722756385803,0.0,0.608802318572998,0.0,0.0,0.793321967124939
6,0.1,0,0,6,-0.1558559238910675,-1.4559117555618286,1.6142265796661377,-1.663673758506775,-1.7340947389602661,-0.31415435671806335,0.02484978549182415,0.02500000037252903,0.0,-1.5700000524520874,1.5700000524520874,-1.5700000524520874,-1.5700000524520874,0.0,0.02500000037252903,0.02500000037252903,-2.067852735519409,1.9842262268066406,0.4816564917564392,-1.450655221939087,-1.3452110290527344,-3.141599416732788,0.0026820520870387554,0.0012595007428899407,-2.094399929046631,2.094399929046631,0.5878754258155823,-1.4351366758346558,-1.3462475538253784,-3.1415998935699463,0.0,0.0,-6.2831854820251465,6.2831854820251465,-6.2831854820251465,6.2831854820251465,-3.1415927410125732,3.1415927410125732,-6.2831854820251465,6.2831854820251465,-6.2831854820251465,6.2831854820251465,-6.2831854820251465,6.2831854820251465,0.0,0.02500000037252903,0.0,0.02500000037252903,-5.654866695404053,5.654866695404053,-5.654866695404053,5.654866695404053,-2.8274333477020264,2.8274333477020264,-5.654866695404053,5.654866695404053,-5.654866695404053,5.654866695404053,-5.654866695404053,5.654866695404053,0.0012500006705522537,0.023749999701976776,0.0012500006705522537,0.023749999701976776,2.094399929046631,2.094399929046631,3.1415998935699463,3.1415998935699463,3.1415998935699463,3.1415998935699463,0.15000000596046448,0.15000000596046448,2.094399929046631,2.094399929046631,3.1415998935699463,3.1415998935699463,3.1415998935699463,3.1415998935699463,0.15000000596046448,0.15000000596046448,0.7478269338607788,0.013845103792846203,0.4225755035877228,-0.08652934432029724,-0.7595927715301514,0.6444462537765503,-0.0148448646068573,0.6633310317993164,-0.30907106399536133,0.01202548947185278,0.9978867769241333,-1.0728836059570312e-06,-3.5762786865234375e-07,-0.06497645378112793,0.029999999329447746,0.527715802192688,0.25135722756385803,0.0,0.608802318572998,0.0,0.0,0.793321967124939
7,0.11666666666666667,0,0,7,-0.19025008380413055,-1.4260027408599854,1.6190533638000488,-1.6891348361968994,-1.758872628211975,-0.3665146231651306,0.0248545091599226,0.02500000037252903,0.0,-1.5700000524520874,1.5700000524520874,-1.5700000524520874,-1.5700000524520874,0.0,0.02500000037252903,0.02500000037252903,-2.094399929046631,1.5826053619384766,0.30354562401771545,-1.5452977418899536,-1.5020644664764404,-3.1415936946868896,0.0028403003234416246,0.001181001658551395,-2.094399929046631,1.060822606086731,-0.4166340231895447,-1.5452793836593628,-1.5019551515579224,-3.1415998935699463,0.0,0.0,-6.2831854820251465,6.2831854820251465,-6.2831854820251465,6.2831854820251465,-3.1415927410125732,3.1415927410125732,-6.2831854820251465,6.2831854820251465,-6.2831854820251465,6.2831854820251465,-6.2831854820251465,6.2831854820251465,0.0,0.02500000037252903,0.0,0.02500000037252903,-5.654866695404053,5.654866695404053,-5.654866695404053,5.654866695404053,-2.8274333477020264,2.8274333477020264,-5.654866695404053,5.654866695404053,-5.654866695404053,5.654866695404053,-5.654866695404053,5.654866695404053,0.0012500006705522537,0.023749999701976776,0.0012500006705522537,0.023749999701976776,2.094399929046631,2.094399929046631,3.1415998935699463,3.1415998935699463,3.1415998935699463,3.1415998935699463,0.15000000596046448,0.15000000596046448,2.094399929046631,2.094399929046631,3.1415998935699463,3.1415998935699463,3.1415998935699463,3.1415998935699463,0.15000000596046448,0.15000000596046448,0.7585988640785217,-0.020730238407850266,0.400901734828949,-0.10008403658866882,-0.7649331092834473,0.6361523866653442,-0.013058096170425415,0.6633310317993164,-0.30907106399536133,0.012025493197143078,0.9978867769241333,-1.1920928955078125e-06,-4.6193599700927734e-07,-0.06497645378112793,0.029999999329447746,0.527715802192688,0.25135722756385803,0.0,0.608802318572998,0.0,0.0,0.793321967124939
8,0.13333333333333333,0,0,8,-0.22198271751403809,-1.4030711650848389,1.6252975463867188,-1.7158663272857666,-1.7825837135314941,-0.4188750088214874,0.024551812559366226,0.02451958693563938,0.0,-1.5700000524520874,1.5700000524520874,-1.5700000524520874,-1.5700000524520874,0.0,0.023494061082601547,0.023494061082601547,-1.7948189973831177,1.2232152223587036,0.40014296770095825,-1.588443636894226,-1.4149236679077148,-3.141589879989624,-0.019112911075353622,-0.02157684601843357,-1.6800590753555298,0.9825989007949829,0.30140239000320435,-1.594887137413025,-1.4092427492141724,-3.1415998935699463,0.0,0.0,-6.2831854820251465,6.2831854820251465,-6.2831854820251465,6.2831854820251465,-3.1415927410125732,3.1415927410125732,-6.2831854820251465,6.2831854820251465,-6.2831854820251465,6.2831854820251465,-6.2831854820251465,6.2831854820251465,0.0,0.02500000037252903,0.0,0.02500000037252903,-5.654866695404053,5.654866695404053,-5.654866695404053,5.654866695404053,-2.8274333477020264,2.8274333477020264,-5.654866695404053,5.654866695404053,-5.654866695404053,5.654866695404053,-5.654866695404053,5.654866695404053,0.0012500006705522537,0.023749999701976776,0.0012500006705522537,0.023749999701976776,2.094399929046631,2.094399929046631,3.1415998935699463,3.1415998935699463,3.1415998935699463,3.1415998935699463,0.15000000596046448,0.15000000596046448,2.094399929046631,2.094399929046631,3.1415998935699463,3.1415998935699463,3.1415998935699463,3.1415998935699463,0.15000000596046448,0.15000000596046448,0.7657845616340637,-0.05314929783344269,0.38343799114227295,-0.11160159111022949,-0.7708650827407837,0.6270096302032471,-0.013077154755592346,0.6633310317993164,-0.30907106399536133,0.012025495991110802,0.9978867769241333,-1.1324882507324219e-06,-5.364418029785156e-07,-0.06497645378112793,0.029999999329447746,0.527715802192688,0.25135722756385803,0.0,0.608802318572998,0.0,0.0,0.793321967124939
9,0.15,0,0,9,-0.24736899137496948,-1.3837978839874268,1.6309340000152588,-1.739486813545227,-1.8044873476028442,-0.4712353050708771,0.023581113666296005,0.023360490798950195,0.0,-1.5700000524520874,1.5700000524520874,-1.5700000524520874,-1.5700000524520874,0.0,0.020705977454781532,0.020705977454781532,-1.3645880222320557,1.0705583095550537,0.3473270833492279,-1.407365322113037,-1.29978609085083,-3.1415836811065674,-0.05451832711696625,-0.055202238261699677,-1.2161622047424316,0.9110432863235474,0.29475027322769165,-1.4091068506240845,-1.2892392873764038,-3.1415998935699463,0.0,0.0,-6.2831854820251465,6.2831854820251465,-6.2831854820251465,6.2831854820251465,-3.1415927410125732,3.1415927410125732,-6.2831854820251465,6.2831854820251465,-6.2831854820251465,6.2831854820251465,-6.2831854820251465,6.2831854820251465,0.0,0.02500000037252903,0.0,0.02500000037252903,-5.654866695404053,5.654866695404053,-5.654866695404053,5.654866695404053,-2.8274333477020264,2.8274333477020264,-5.654866695404053,5.654866695404053,-5.654866695404053,5.654866695404053,-5.654866695404053,5.654866695404053,0.0012500006705522537,0.023749999701976776,0.0012500006705522537,0.023749999701976776,2.094399929046631,2.094399929046631,3.1415998935699463,3.1415998935699463,3.1415998935699463,3.1415998935699463,0.15000000596046448,0.15000000596046448,2.094399929046631,2.094399929046631,3.1415998935699463,3.1415998935699463,3.1415998935699463,3.1415998935699463,0.15000000596046448,0.15000000596046448,0.7705762386322021,-0.08019949495792389,0.3686974048614502,-0.12217116355895996,-0.7785896062850952,0.6153953075408936,-0.01268400251865387,0.6633310317993164,-0.30907106399536133,0.0120254997164011,0.9978867173194885,-1.0728836059570312e-06,-4.3213367462158203e-07,-0.0649765133857727,0.029999999329447746,0.527715802192688,0.25135722756385803,0.0,0.608802318572998,0.0,0.0,0.793321967124939
10,0.16666666666666666,0,0,10,-0.2652556002140045,-1.3664281368255615,1.6379330158233643,-1.760428547859192,-1.82126784324646,-0.5235957503318787,0.022445159032940865,0.022011179476976395,0.0,-1.5700000524520874,1.5700000524520874,-1.5700000524520874,-1.5700000524520874,0.0,0.019026467576622963,0.019026467576622963,-0.8809579610824585,1.016796350479126,0.48674726486206055,-1.2387362718582153,-0.9864445328712463,-3.1415765285491943,-0.06400086730718613,-0.06278463453054428,-0.704710066318512,0.9941309690475464,0.5221973061561584,-1.2297357320785522,-0.9700690507888794,-3.1415998935699463,0.0,0.0,-6.2831854820251465,6.2831854820251465,-6.2831854820251465,6.2831854820251465,-3.1415927410125732,3.1415927410125732,-6.2831854820251465,6.2831854820251465,-6.2831854820251465,6.2831854820251465,-6.2831854820251465,6.2831854820251465,0.0,0.02500000037252903,0.0,0.02500000037252903,-5.654866695404053,5.654866695404053,-5.654866695404053,5.654866695404053,-2.8274333477020264,2.8274333477020264,-5.654866695404053,5.654866695404053,-5.654866695404053,5.654866695404053,-5.654866695404053,5.654866695404053,0.0012500006705522537,0.023749999701976776,0.0012500006705522537,0.023749999701976776,2.094399929046631,2.094399929046631,3.1415998935699463,3.1415998935699463,3.1415998935699463,3.1415998935699463,0.15000000596046448,0.15000000596046448,2.094399929046631,2.094399929046631,3.1415998935699463,3.1415998935699463,3.1415998935699463,3.1415998935699463,0.15000000596046448,0.15000000596046448,0.7736594676971436,-0.09983962029218674,0.3539246618747711,-0.13086003065109253,-0.7885545492172241,0.6007968783378601,-0.010020613670349121,0.6633310317993164,-0.30907106399536133,0.012025503441691399,0.9978867769241333,-1.0728836059570312e-06,-4.3958425521850586e-07,-0.06497645378112793,0.029999999329447746,0.527715802192688,0.25135722756385803,0.0,0.608802318572998,0.0,0.0,0.793321967124939
