step,sim_time,env_id,episode_id,episode_step,shoulder_pan_joint_pos,shoulder_lift_joint_pos,elbow_joint_pos,wrist_1_joint_pos,wrist_2_joint_pos,wrist_3_joint_pos,shoulder_pan_joint_pos_target,shoulder_lift_joint_pos_target,elbow_joint_pos_target,wrist_1_joint_pos_target,wrist_2_joint_pos_target,wrist_3_joint_pos_target,shoulder_pan_joint_vel,shoulder_lift_joint_vel,elbow_joint_vel,wrist_1_joint_vel,wrist_2_joint_vel,wrist_3_joint_vel,shoulder_pan_joint_vel_target,shoulder_lift_joint_vel_target,elbow_joint_vel_target,wrist_1_joint_vel_target,wrist_2_joint_vel_target,wrist_3_joint_vel_target,shoulder_pan_joint_pos_limit_lower,shoulder_pan_joint_pos_limit_upper,shoulder_lift_joint_pos_limit_lower,shoulder_lift_joint_pos_limit_upper,elbow_joint_pos_limit_lower,elbow_joint_pos_limit_upper,wrist_1_joint_pos_limit_lower,wrist_1_joint_pos_limit_upper,wrist_2_joint_pos_limit_lower,wrist_2_joint_pos_limit_upper,wrist_3_joint_pos_limit_lower,wrist_3_joint_pos_limit_upper,shoulder_pan_joint_soft_pos_limit_lower,shoulder_pan_joint_soft_pos_limit_upper,shoulder_lift_joint_soft_pos_limit_lower,shoulder_lift_joint_soft_pos_limit_upper,elbow_joint_soft_pos_limit_lower,elbow_joint_soft_pos_limit_upper,wrist_1_joint_soft_pos_limit_lower,wrist_1_joint_soft_pos_limit_upper,wrist_2_joint_soft_pos_limit_lower,wrist_2_joint_soft_pos_limit_upper,wrist_3_joint_soft_pos_limit_lower,wrist_3_joint_soft_pos_limit_upper,shoulder_pan_joint_vel_limit,shoulder_lift_joint_vel_limit,elbow_joint_vel_limit,wrist_1_joint_vel_limit,wrist_2_joint_vel_limit,wrist_3_joint_vel_limit,shoulder_pan_joint_soft_vel_limit,shoulder_lift_joint_soft_vel_limit,elbow_joint_soft_vel_limit,wrist_1_joint_soft_vel_limit,wrist_2_joint_soft_vel_limit,wrist_3_joint_soft_vel_limit,ee_frame_pos_x,ee_frame_pos_y,ee_frame_pos_z,ee_frame_rot_w,ee_frame_rot_x,ee_frame_rot_y,ee_frame_rot_z,object_pos_x,object_pos_y,object_pos_z,object_rot_w,object_rot_x,object_rot_y,object_rot_z,target_pos_x,target_pos_y,target_pos_z,target_rot_w,target_rot_x,target_rot_y,target_rot_z
1,0.008,0,0,1,0.0036512981168925762,-1.5729548931121826,1.572514533996582,-1.5509083271026611,-1.5866351127624512,-0.02512899786233902,0.0,-1.5700000524520874,1.5700000524520874,-1.5700000524520874,-1.5700000524520874,0.0,0.5161030888557434,-0.4225498139858246,0.38409024477005005,2.2920475006103516,-2.0684866905212402,-3.1415915489196777,2.094399929046631,-2.094399929046631,3.141590118408203,3.141590118408203,-2.0684852600097656,-3.141590118408203,-6.2831854820251465,6.2831854820251465,-6.2831854820251465,6.2831854820251465,-3.1415927410125732,3.1415927410125732,-6.2831854820251465,6.2831854820251465,-6.2831854820251465,6.2831854820251465,-6.2831854820251465,6.2831854820251465,-5.654866695404053,5.654866695404053,-5.654866695404053,5.654866695404053,-2.8274333477020264,2.8274333477020264,-5.654866695404053,5.654866695404053,-5.654866695404053,5.654866695404053,-5.654866695404053,5.654866695404053,2.094399929046631,2.094399929046631,3.1415998935699463,3.1415998935699463,3.1415998935699463,3.1415998935699463,2.094399929046631,2.094399929046631,3.1415998935699463,3.1415998935699463,3.1415998935699463,3.1415998935699463,0.6871548891067505,0.17481423914432526,0.6748062372207642,-0.012460768222808838,-0.7172058820724487,0.6967483758926392,0.001409962773323059,NA,NA,NA,NA,NA,NA,NA,0.36621516942977905,0.248762845993042,0.4527476727962494,-1.875928923311676e-08,0.42916250228881836,0.9032273292541504,-3.948132132336468e-08
2,0.016,0,0,2,0.010420541279017925,-1.5798317193984985,1.5802533626556396,-1.5263433456420898,-1.6057730913162231,-0.05026121810078621,0.0,-1.5700000524520874,1.5700000524520874,-1.5700000524520874,-1.5700000524520874,0.0,0.922749936580658,-0.9256382584571838,1.0305737257003784,3.1415905952453613,-2.3706414699554443,-3.141590118408203,2.094399929046631,-2.094399929046631,3.141590118408203,3.141590118408203,-2.3706414699554443,-3.141590118408203,-6.2831854820251465,6.2831854820251465,-6.2831854820251465,6.2831854820251465,-3.1415927410125732,3.1415927410125732,-6.2831854820251465,6.2831854820251465,-6.2831854820251465,6.2831854820251465,-6.2831854820251465,6.2831854820251465,-5.654866695404053,5.654866695404053,-5.654866695404053,5.654866695404053,-2.8274333477020264,2.8274333477020264,-5.654866695404053,5.654866695404053,-5.654866695404053,5.654866695404053,-5.654866695404053,5.654866695404053,2.094399929046631,2.094399929046631,3.1415998935699463,3.1415998935699463,3.1415998935699463,3.1415998935699463,2.094399929046631,2.094399929046631,3.1415998935699463,3.1415998935699463,3.1415998935699463,3.1415998935699463,0.6787090301513672,0.1771562099456787,0.6713957786560059,-0.028148774057626724,-0.7282065749168396,0.6847673058509827,0.0040612369775772095,NA,NA,NA,NA,NA,NA,NA,0.36621516942977905,0.248762845993042,0.4527476727962494,-1.875928923311676e-08,0.42916250228881836,0.9032273292541504,-3.948132132336468e-08
3,0.024,0,0,3,0.020163841545581818,-1.5906060934066772,1.5938043594360352,-1.5017120838165283,-1.6240465641021729,-0.0753934308886528,0.0,-1.5700000524520874,1.5700000524520874,-1.5700000524520874,-1.5700000524520874,0.0,1.3220463991165161,-1.4598761796951294,1.8056470155715942,3.1415910720825195,-2.2598280906677246,-3.141589641571045,2.094399929046631,-2.094399929046631,3.141590118408203,3.141590118408203,-2.259827136993408,-3.141590118408203,-6.2831854820251465,6.2831854820251465,-6.2831854820251465,6.2831854820251465,-3.1415927410125732,3.1415927410125732,-6.2831854820251465,6.2831854820251465,-6.2831854820251465,6.2831854820251465,-6.2831854820251465,6.2831854820251465,-5.654866695404053,5.654866695404053,-5.654866695404053,5.654866695404053,-2.8274333477020264,2.8274333477020264,-5.654866695404053,5.654866695404053,-5.654866695404053,5.654866695404053,-5.654866695404053,5.654866695404053,2.094399929046631,2.094399929046631,3.1415998935699463,3.1415998935699463,3.1415998935699463,3.1415998935699463,2.094399929046631,2.094399929046631,3.1415998935699463,3.1415998935699463,3.1415998935699463,3.1415998935699463,0.6670194268226624,0.18143242597579956,0.6667152643203735,-0.04415082931518555,-0.739973247051239,0.6711385846138,0.007951140403747559,NA,NA,NA,NA,NA,NA,NA,0.36621516942977905,0.248762845993042,0.4527476727962494,-1.875928923311676e-08,0.42916250228881836,0.9032273292541504,-3.948132132336468e-08
4,0.032,0,0,4,0.03274897113442421,-1.6044681072235107,1.6122239828109741,-1.4770300388336182,-1.6406208276748657,-0.10052555054426193,0.0,-1.5700000524520874,1.5700000524520874,-1.5700000524520874,-1.5700000524520874,0.0,1.7733172178268433,-1.8359172344207764,2.4202489852905273,3.1292710304260254,-2.062570571899414,-3.1415531635284424,2.094399929046631,-2.094399929046631,3.023048162460327,3.141590118408203,-2.0449228286743164,-3.141590118408203,-6.2831854820251465,6.2831854820251465,-6.2831854820251465,6.2831854820251465,-3.1415927410125732,3.1415927410125732,-6.2831854820251465,6.2831854820251465,-6.2831854820251465,6.2831854820251465,-6.2831854820251465,6.2831854820251465,-5.654866695404053,5.654866695404053,-5.654866695404053,5.654866695404053,-2.8274333477020264,2.8274333477020264,-5.654866695404053,5.654866695404053,-5.654866695404053,5.654866695404053,-5.654866695404053,5.654866695404053,2.094399929046631,2.094399929046631,3.1415998935699463,3.1415998935699463,3.1415998935699463,3.1415998935699463,2.094399929046631,2.094399929046631,3.1415998935699463,3.1415998935699463,3.1415998935699463,3.1415998935699463,0.6525667905807495,0.1874859631061554,0.6608059406280518,-0.06009167432785034,-0.7523608207702637,0.655870795249939,0.01325005292892456,NA,NA,NA,NA,NA,NA,NA,0.36621516942977905,0.248762845993042,0.4527476727962494,-1.875928923311676e-08,0.42916250228881836,0.9032273292541504,-3.948132132336468e-08
5,0.04,0,0,5,0.04802468419075012,-1.6197144985198975,1.6323020458221436,-1.4520366191864014,-1.6562488079071045,-0.1256580799818039,0.0,-1.5700000524520874,1.5700000524520874,-1.5700000524520874,-1.5700000524520874,0.0,1.9760596752166748,-1.9655694961547852,2.571943759918213,3.136873960494995,-1.9508169889450073,-3.1415762901306152,2.094399929046631,-2.094399929046631,2.5625271797180176,3.141590118408203,-1.9447059631347656,-3.141590118408203,-6.2831854820251465,6.2831854820251465,-6.2831854820251465,6.2831854820251465,-3.1415927410125732,3.1415927410125732,-6.2831854820251465,6.2831854820251465,-6.2831854820251465,6.2831854820251465,-6.2831854820251465,6.2831854820251465,-5.654866695404053,5.654866695404053,-5.654866695404053,5.654866695404053,-2.8274333477020264,2.8274333477020264,-5.654866695404053,5.654866695404053,-5.654866695404053,5.654866695404053,-5.654866695404053,5.654866695404053,2.094399929046631,2.094399929046631,3.1415998935699463,3.1415998935699463,3.1415998935699463,3.1415998935699463,2.094399929046631,2.094399929046631,3.1415998935699463,3.1415998935699463,3.1415998935699463,3.1415998935699463,0.6365265250205994,0.1949848234653473,0.6546514630317688,-0.07581283897161484,-0.7652257680892944,0.6389943361282349,0.019181400537490845,NA,NA,NA,NA,NA,NA,NA,0.36621516942977905,0.248762845993042,0.4527476727962494,-1.875928923311676e-08,0.42916250228881836,0.9032273292541504,-3.948132132336468e-08
6,0.048,0,0,6,0.06449640542268753,-1.6352790594100952,1.6519697904586792,-1.4269057512283325,-1.6708707809448242,-0.15079107880592346,0.0,-1.5700000524520874,1.5700000524520874,-1.5700000524520874,-1.5700000524520874,0.0,2.0694801807403564,-1.969443678855896,2.425483465194702,3.141589879989624,-1.8273767232894897,-3.141592264175415,2.094399929046631,-2.094399929046631,2.35330867767334,3.141590118408203,-1.8270493745803833,-3.141590118408203,-6.2831854820251465,6.2831854820251465,-6.2831854820251465,6.2831854820251465,-3.1415927410125732,3.1415927410125732,-6.2831854820251465,6.2831854820251465,-6.2831854820251465,6.2831854820251465,-6.2831854820251465,6.2831854820251465,-5.654866695404053,5.654866695404053,-5.654866695404053,5.654866695404053,-2.8274333477020264,2.8274333477020264,-5.654866695404053,5.654866695404053,-5.654866695404053,5.654866695404053,-5.654866695404053,5.654866695404053,2.094399929046631,2.094399929046631,3.1415998935699463,3.1415998935699463,3.1415998935699463,3.1415998935699463,2.094399929046631,2.094399929046631,3.1415998935699463,3.1415998935699463,3.1415998935699463,3.1415998935699463,0.6199674010276794,0.20288540422916412,0.6489496827125549,-0.09088695049285889,-0.7780168652534485,0.6211180090904236,0.025333046913146973,NA,NA,NA,NA,NA,NA,NA,0.36621516942977905,0.248762845993042,0.4527476727962494,-1.875928923311676e-08,0.42916250228881836,0.9032273292541504,-3.948132132336468e-08
7,0.056,0,0,7,0.08120541274547577,-1.6510934829711914,1.6709506511688232,-1.4017754793167114,-1.6842918395996094,-0.1759241223335266,0.0,-1.5700000524520874,1.5700000524520874,-1.5700000524520874,-1.5700000524520874,0.0,2.084465265274048,-2.0041861534118652,2.3643665313720703,3.1416025161743164,-1.6806682348251343,-3.1415932178497314,2.094399929046631,-2.094399929046631,2.317203998565674,3.141590118408203,-1.6811141967773438,-3.141590118408203,-6.2831854820251465,6.2831854820251465,-6.2831854820251465,6.2831854820251465,-3.1415927410125732,3.1415927410125732,-6.2831854820251465,6.2831854820251465,-6.2831854820251465,6.2831854820251465,-6.2831854820251465,6.2831854820251465,-5.654866695404053,5.654866695404053,-5.654866695404053,5.654866695404053,-2.8274333477020264,2.8274333477020264,-5.654866695404053,5.654866695404053,-5.654866695404053,5.654866695404053,-5.654866695404053,5.654866695404053,2.094399929046631,2.094399929046631,3.1415998935699463,3.1415998935699463,3.1415998935699463,3.1415998935699463,2.094399929046631,2.094399929046631,3.1415998935699463,3.1415998935699463,3.1415998935699463,3.1415998935699463,0.6031750440597534,0.2105715423822403,0.6438336372375488,-0.10511767864227295,-0.790397584438324,0.6026771068572998,0.03165765106678009,NA,NA,NA,NA,NA,NA,NA,0.36621516942977905,0.248762845993042,0.4527476727962494,-1.875928923311676e-08,0.42916250228881836,0.9032273292541504,-3.948132132336468e-08
8,0.064,0,0,8,0.09794001281261444,-1.6671031713485718,1.6893235445022583,-1.3766437768936157,-1.697035312652588,-0.20105718076229095,0.0,-1.5700000524520874,1.5700000524520874,-1.5700000524520874,-1.5700000524520874,0.0,2.088209629058838,-2.0200231075286865,2.2803828716278076,3.1416032314300537,-1.5972623825073242,-3.1415929794311523,2.094399929046631,-2.094399929046631,2.2365243434906006,3.141590118408203,-1.597774863243103,-3.141590118408203,-6.2831854820251465,6.2831854820251465,-6.2831854820251465,6.2831854820251465,-3.1415927410125732,3.1415927410125732,-6.2831854820251465,6.2831854820251465,-6.2831854820251465,6.2831854820251465,-6.2831854820251465,6.2831854820251465,-5.654866695404053,5.654866695404053,-5.654866695404053,5.654866695404053,-2.8274333477020264,2.8274333477020264,-5.654866695404053,5.654866695404053,-5.654866695404053,5.654866695404053,-5.654866695404053,5.654866695404053,2.094399929046631,2.094399929046631,3.1415998935699463,3.1415998935699463,3.1415998935699463,3.1415998935699463,2.094399929046631,2.094399929046631,3.1415998935699463,3.1415998935699463,3.1415998935699463,3.1415998935699463,0.5862331986427307,0.21784363687038422,0.6392046213150024,-0.11873799562454224,-0.8022863268852234,0.5837737321853638,0.03802645206451416,NA,NA,NA,NA,NA,NA,NA,0.36621516942977905,0.248762845993042,0.4527476727962494,-1.875928923311676e-08,0.42916250228881836,0.9032273292541504,-3.948132132336468e-08
9,0.07200000000000001,0,0,9,0.1146807074546814,-1.683236837387085,1.707073450088501,-1.3515113592147827,-1.709887146949768,-0.2261902391910553,0.0,-1.5700000524520874,1.5700000524520874,-1.5700000524520874,-1.5700000524520874,0.0,2.0891449451446533,-2.0327401161193848,2.2049643993377686,3.1416015625,-1.6120681762695312,-3.1415936946868896,2.094399929046631,-2.094399929046631,2.1683413982391357,3.141590118408203,-1.6125229597091675,-3.141590118408203,-6.2831854820251465,6.2831854820251465,-6.2831854820251465,6.2831854820251465,-3.1415927410125732,3.1415927410125732,-6.2831854820251465,6.2831854820251465,-6.2831854820251465,6.2831854820251465,-6.2831854820251465,6.2831854820251465,-5.654866695404053,5.654866695404053,-5.654866695404053,5.654866695404053,-2.8274333477020264,2.8274333477020264,-5.654866695404053,5.654866695404053,-5.654866695404053,5.654866695404053,-5.654866695404053,5.654866695404053,2.094399929046631,2.094399929046631,3.1415998935699463,3.1415998935699463,3.1415998935699463,3.1415998935699463,2.094399929046631,2.094399929046631,3.1415998935699463,3.1415998935699463,3.1415998935699463,3.1415998935699463,0.5692171454429626,0.22460146248340607,0.6350265145301819,-0.13205382227897644,-0.813668966293335,0.564403772354126,0.0441916286945343,NA,NA,NA,NA,NA,NA,NA,0.36621516942977905,0.248762845993042,0.4527476727962494,-1.875928923311676e-08,0.42916250228881836,0.9032273292541504,-3.948132132336468e-08
10,0.08,0,0,10,0.13145150244235992,-1.6989631652832031,1.7239503860473633,-1.326377511024475,-1.7233000993728638,-0.25132328271865845,0.0,-1.5700000524520874,1.5700000524520874,-1.5700000524520874,-1.5700000524520874,0.0,2.0944008827209473,-1.938219428062439,2.0845565795898438,3.1415789127349854,-1.6809368133544922,-3.141601800918579,2.094399929046631,-1.893713116645813,2.090758800506592,3.141590118408203,-1.6827917098999023,-3.141590118408203,-6.2831854820251465,6.2831854820251465,-6.2831854820251465,6.2831854820251465,-3.1415927410125732,3.1415927410125732,-6.2831854820251465,6.2831854820251465,-6.2831854820251465,6.2831854820251465,-6.2831854820251465,6.2831854820251465,-5.654866695404053,5.654866695404053,-5.654866695404053,5.654866695404053,-2.8274333477020264,2.8274333477020264,-5.654866695404053,5.654866695404053,-5.654866695404053,5.654866695404053,-5.654866695404053,5.654866695404053,2.094399929046631,2.094399929046631,3.1415998935699463,3.1415998935699463,3.1415998935699463,3.1415998935699463,2.094399929046631,2.094399929046631,3.1415998935699463,3.1415998935699463,3.1415998935699463,3.1415998935699463,0.5524332523345947,0.23084504902362823,0.631152868270874,-0.14532381296157837,-0.8245351314544678,0.5445294976234436,0.050103068351745605,NA,NA,NA,NA,NA,NA,NA,0.36621516942977905,0.248762845993042,0.4527476727962494,-1.875928923311676e-08,0.42916250228881836,0.9032273292541504,-3.948132132336468e-08
